#	岛屿奖励表										
#	Id		Score	ImageUrl
#	int		int	string
#	岛屿编号(x0x1起始)	策划备注	地块得分	得分颜色	奖励物品图片链接地址
	1001	1号岛屿	10	ff5a00	www.baidu.com/img/bd_logo1.png
	1002		20		
	1003		30		
	1004		40		
	1005		50		
	1006		60		
	1007		70		
	1008		80		
	1009		90		
	2001	2号岛屿	10	583BF2FF	www.baidu.com/img/bd_logo1.png
	2002		20		
	2003		30		
	2004		40		
	2005		50		
	2006		60		
	2007		70		
	2008		80		
	2009		90		
	3001	3号岛屿	10	FFF92BFF	www.baidu.com/img/bd_logo1.png
	3002		20		
	3003		30		
	3004		40		
	3005		50		
	3006		60		
	3007		70		
	3008		80		
	3009		90		
	4001	4号岛屿	10	ff5a00	www.baidu.com/img/bd_logo1.png
	4002		20		
	4003		30		
	4004		40		
	4005		50		
	4006		60		
	4007		70		
	4008		80		
	4009		90		
	4010		10		
	4011		10		
	4012		10		
	4013		10		
	4014		10		
	4015		10		
	4016		10		
	5001	5号岛屿	10	ff5a00	www.baidu.com/img/bd_logo1.png
	5002		20		
	5003		30	ff5a00	www.baidu.com/img/bd_logo1.png
	5004		40		
	5005		50		
	5006		60		
	5007		70		
	5008		80		
	5009		90		
	5010		10		
	5011		10		
	5012		10		
	5013		10		
	5014		10		
	5015		10		
	5016		10		
	6001	6号岛屿	10	ff5a00	www.baidu.com/img/bd_logo1.png
	6002		20		
	6003		30		
	6004		40		
	6005		50		
	6006		60		
	6007		70		
	6008		80		
	6009		90		
	6010		10		
	6011		10		
	6012		10		
	6013		10		
	6014		10		
	6015		10		
	6016		10		
	7001	7号岛屿	10	ff5a00	www.baidu.com/img/bd_logo1.png
	7002		20		
	7003		30		
	7004		40		
	7005		50		
	7006		60		
	7007		70		
	7008		80		
	7009		90		
	7010		10		
	7011		10		
	7012		10		
	7013		10		
	7014		10		
	7015		10		
	7016		10		
	8001	8号岛屿	10	ff5a00	www.baidu.com/img/bd_logo1.png
	8002		20		
	8003		30		
	8004		40		
	8005		50		
	8006		60		
	8007		70		
	8008		80		
	8009		90		
	8010		10		
	8011		10		
	8012		10		
	8013		10		
	8014		10		
	8015		10		
	8016		10		

